Club,totalmarketvalm,leaguepos,Grosspygbp,nettspendM
Manchester City,1460,1,196872000,-120.8
Arsenal FC,1200,2,171496000,-165.9
Chelsea FC,1010,6,157170000,-181.9
Liverpool FC,955.65,3,141960000,-111.3
Tottenham Hotspur,838.5,5,132210000,-151.4
Manchester United,808.35,8,198346000,-152.36
Aston Villa,709.65,4,115070000,-78.34
Newcastle United,652.25,7,88140000,-103.5
Brighton & Hove Albion,524.4,11,65520000,82.15
Nottingham Forest,501.35,17,73740000,-44.88
West Ham United,487.5,9,104676000,28.3
Crystal Palace,446.58,10,73580000,-67.8
Wolverhampton Wanderers,442.73,15,67782000,75.2
Brentford FC,428.78,16,46722000,-62.1
AFC Bournemouth,401.75,12,57330000,-125.79
Everton FC,391.75,13,81318000,42.3
Fulham FC,384.35,14,67990000,-19.97
Burnley FC,273.48,19,40846000,-107.25
Sheffield United,152.35,20,35360000,-36.05
Luton Town,140.9,18,26182000,-25.6
